
,,,Salary,Salary,Salary,Salary,Salary,,
122,J.R. Smith,NYK,$5982375,$6399750,,,,Early Bird Rights,$5982375
123,Chuck Hayes,TOR,$5958750,,,,,Cap Space,$5958750
124,Jason Terry,HOU,$5850313,,,,,MLE,$5850313
125,Patrick Patterson,TOR,$5831326,$6268675,$6050000,,,Bird Rights,$18150001
126,P.J. Tucker,PHO,$5700000,$5500000,$5300000,,,Cap Space,$12700000
127,Enes Kanter,UTA,$5694674,,,,,1st Round Pick,$5694674
128,Anthony Davis,NOP,$5607240,$7070730,,,,1st Round Pick,$5607240
129,Anthony Bennett,MIN,$5563920,$5803560,$7318289,,,1st Round Pick,$5563920
130,Andrew Wiggins,MIN,$5510640,$5758680,$6006600,$7574322,,1st Round Pick,$11269320
131,Greg Monroe,DET,$5479934,,,,,,$5479934
132,Louis Williams,TOR,$5450000,,,,,MLE,$5450000
133,Courtney Lee,MEM,$5450000,$5675000,,,,Bird Rights,$11125000
134,Jamal Crawford,LAC,$5450000,$5675000,,,,MLE,$3000000
135,Martell Webster,WAS,$5381750,$5613500,$5845250,,,MLE,$10995250
136,J.J. Hickson,DEN,$5381750,$5613500,,,,MLE,$10995250
137,Chris Andersen,MIA,$5375000,$5000000,,,,Cap Space,$10375000
138,Paul Pierce,WAS,$5305000,$5543725,,,,MLE,$5305000
139,Josh McRoberts,MIA,$5305000,$5543725,$5782450,$6021175,,MLE,$16631175
140,Spencer Hawes,LAC,$5305000,$5543725,$5782450,$6021175,,MLE,$16631175
,,,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
141,Shaun Livingston,GSW,$5305000,$5543725,$5782450,,,MLE,$13848725
142,Nikola Mirotic,CHI,$5305000,$5543725,$5782450,,,Cap Space,$16631175
143,Zaza Pachulia,MIL,$5200000,$5200000,,,,Cap Space,$10400000
144,Tristan Thompson,CLE,$5138430,,,,,1st Round Pick,$5138430
145,Ricky Rubio,MIN,$5070686,,,,,1st Round Pick,$5070686
146,Michael Kidd-Gilchrist,CHO,$5016960,$6331404,,,,1st Round Pick,$5016960
147,Trevor Booker,UTA,$5000000,$4775000,,,,Cap Space,$5250000
148,Chase Budinger,MIN,$5000000,$5000000,,,,Bird Rights,$5000000
149,Brandan Wright,DAL,$5000000,,,,,Early Bird Rights,$5000000
150,Nick Young,LAL,$4994420,$5219169,$5443918,$5668667,,Cap Space,$15657507
151,Victor Oladipo,ORL,$4978200,$5192520,$6552960,,,1st Round Pick,$4978200
152,Jabari Parker,MIL,$4930560,$5152440,$5374320,$6782392,,1st Round Pick,$10083000
153,Luis Scola,IND,$4868499,,,,,Cap Space,$940946
154,Tony Allen,MEM,$4831461,$5168539,$5505618,,,Bird Rights,$15505618
155,Chris Kaman,POR,$4800000,$5000000,,,,MLE,$5800000
156,Kostas Papanikolaou,HOU,$4800000,$4600000,,,,MLE,$4800000
157,Darren Collison,SAC,$4797664,$5013559,$5229454,,,MLE,$15040677
158,Corey Brewer,MIN,$4702500,$4905000,,,,Cap Space,$4702500
159,Timofey Mozgov,DEN,$4650000,$4950000,,,,Bird Rights,$4650000
160,Andre Miller,WAS,$4625000,,,,,Bird Rights,$2000000
,,,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
161,Jose Barea,MIN,$4519500,,,,,Cap Space,$4519500
162,Bradley Beal,WAS,$4505280,$5694674,,,,1st Round Pick,$4505280
163,Ben Gordon,ORL,$4500000,$4500000,,,,Cap Space,$4500000
164,Jonas Jerebko,DET,$4500000,,,,,Early Bird Rights,$4500000
165,Caron Butler,DET,$4500000,$4500000,,,,,$4500000
166,Otto Porter,WAS,$4470480,$4662960,$5893981,,,1st Round Pick,$4470480
167,Joel Embiid,PHI,$4427640,$4626960,$4826160,$6100266,,1st Round Pick,$9054600
168,Luc Mbah a Moute,PHI,$4382576,,,,,Bird Rights,$4382576
169,Kris Humphries,WAS,$4300000,$4600000,$4600000,,,Bird Rights,$13500000
170,Jared Dudley,MIL,$4250000,$4250000,,,,Bird Rights,$4250000
171,C.J. Miles,IND,$4205000,$4394225,$4583450,$4772675,,MLE,$13182675
172,Thabo Sefolosha,ATL,$4150000,$4000000,$3850000,,,,$12000000
173,Dion Waiters,CLE,$4062000,$5138430,,,,1st Round Pick,$4062000
174,Cody Zeller,CHO,$4030560,$4204200,$5318313,,,1st Round Pick,$4030560
175,Danny Green,SAS,$4025000,,,,,Early Bird,$4025000
176,Mario Chalmers,MIA,$4000000,$4300000,,,,Bird Rights,$8300000
177,Ian Mahinmi,IND,$4000000,$4000000,,,,Early Bird Rights,$8000000
178,Travis Outlaw,BRK,$4000000,,,,,,
179,Aaron Gordon,ORL,$3992040,$4171680,$4351320,$5504420,,1st Round Pick,$8163720
180,Vince Carter,MEM,$3911981,$4088091,$4264057,,,,$10000072
,,,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
181,Kevin Seraphin,WAS,$3898692,,,,,1st Round Pick,$3898692
182,Devin Harris,DAL,$3878000,$4053000,$4228000,$4403000,,,$16562000
183,Bismack Biyombo,CHO,$3873398,,,,,1st Round Pick,$3873398
184,Samuel Dalembert,NYK,$3867282,,,,,Cap Space,$1800000
185,Patrick Mills,SAS,$3842105,$3578947,$3578948,,,Bird Rights,$11000000
186,Al Harrington,ORL,$3805000,,,,,,$3805000
187,Joel Anthony,DET,$3800000,,,,,Bird Rights,$3800000
188,Raymond Felton,DAL,$3793693,$3950313,,,,Cap Space,$3793693
189,Mo Williams,MIN,$3750000,,,,,MLE,$3750000
190,Jonas Valanciunas,TOR,$3678360,$4660482,,,,1st Round Pick,$3678360
191,Thomas Robinson,POR,$3678360,$4660482,,,,1st Round Pick,$3678360
192,Marreese Speights,GSW,$3657500,$3815000,,,,MLE,$3657500
193,Alex Len,PHO,$3649920,$3807120,$4823621,,,1st Round Pick,$3649920
194,Dante Exum,UTA,$3615000,$3777720,$3940320,$4992385,,1st Round Pick,$7392720
195,Brandon Knight,MIL,$3553917,,,,,1st Round Pick,$3553917
196,Gerald Green,PHO,$3500000,,,,,Cap Space,$3500000
197,Darrell Arthur,DEN,$3457149,,,,,Bird Rights,$3457149
198,Steve Novak,UTA,$3445946,$3750000,,,,Early Bird,$7195946
199,Matt Barnes,LAC,$3396250,$3542500,,,,MLE,$3396250
200,Mirza Teletovic,BRK,$3368100,,,,,Mini MLE,$3368100
,,,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
201,Damian Lillard,POR,$3340920,$4236287,,,,1st Round Pick,$3340920
202,Mike Scott,ATL,$3333333,$3333333,$3333334,,,,$6666666
203,Tyler Hansbrough,TOR,$3326235,,,,,MLE,$3326235
204,Mike Dunleavy,CHI,$3326235,,,,,Mini MLE,$3326235
205,Andrei Kirilenko,BRK,$3326235,,,,,Mini MLE,$3326235
206,Nerlens Noel,PHI,$3315120,$3457800,$4384490,,,1st Round Pick,$3315120
207,Marcus Smart,BOS,$3283320,$3431040,$3578880,$4538020,,1st Round Pick,$6669360
208,Alexey Shved,PHI,$3282056,,,,,Cap Space,$3282056
209,Jason Smith,NYK,$3278000,,,,,Mini MLE,$3278000
210,Bojan Bogdanovic,BRK,$3278000,$3425510,$3573020,,,MLE,$10276530
211,Evan Turner,BOS,$3278000,$3425510,,,,MLE,$6703510
212,Kemba Walker,CHO,$3272091,,,,,1st Round Pick,$3272091
213,Carlos Boozer,LAL,$3250000,,,,,,$3250000
214,Gary Neal,CHO,$3250000,,,,,Cap Space,$3250000
215,Anthony Morrow,OKC,$3200000,$3344000,$3488000,,,Cap Space,$6544000
216,Dorell Wright,POR,$3150000,,,,,Cap Space,$3150000
217,Quincy Pondexter,MEM,$3146068,$3382023,$3617978,$3853931,,1st Round Pick,$14000000
218,Chris Copeland,IND,$3135000,,,,,MLE,$3135000
219,Randy Foye,DEN,$3135000,$3270000,,,,Non Bird Rights,$6405000
220,Klay Thompson,GSW,$3075880,,,,,1st Round Pick,$3075880
,,,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
221,Harrison Barnes,GSW,$3049920,$3873398,,,,1st Round Pick,$3049920
222,Alec Burks,UTA,$3034356,,,,,1st Round Pick,$3034356
223,Ben McLemore,SAC,$3026280,$3156600,$4008882,,,1st Round Pick,$3026280
224,Joel Freeland,POR,$3013512,,,,,Cap Space,$2567512
225,Anthony Tolliver,PHO,$3000000,$3000000,,,,Cap Space,$3400000
226,Travis Outlaw,NYK,$3000000,,,,,Cap Space,$3000000
227,Jerryd Bayless,MIL,$3000000,$3000000,,,,Cap Space,$6000000
228,Kosta Koufos,MEM,$3000000,,,,,Bird Rights,$3000000
229,D.J. Augustin,DET,$3000000,$3000000,,,,,$6000000
230,Julius Randle,LAL,$2997360,$3132240,$3267120,$4149242,,1st Round Pick,$6129600
231,Markieff Morris,PHO,$2989239,$8000000,$8000000,$8000000,$8000000,Bird Rights,$34989239
232,Marcus Morris,PHO,$2943221,$5000000,$5000000,$5000000,$5000000,Bird Rights,$22943221
233,Will Bynum,BOS,$2915908,,,,,Cap Space,$2915908
234,Kawhi Leonard,SAS,$2894059,,,,,1st Round Pick,$2894059
235,Marco Belinelli,SAS,$2873750,,,,,MLE,$2873750
236,Terrence Ross,TOR,$2793960,$3553917,,,,1st Round Pick,$2793960
237,Kentavious Caldwell-Pope,DET,$2772480,$2891760,$3678319,,,1st Round Pick,$2772480
238,Nikola Vucevic,ORL,$2751260,,,,,1st Round Pick,$2751260
239,Luke Ridnour,ORL,$2750000,,,,,Cap Space,$2750000
240,Nik Stauskas,SAC,$2745840,$2869440,$2993040,$3807146,,1st Round Pick,$5615280
,,,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
241,Udonis Haslem,MIA,$2732000,$2854940,,,,MLE,$5586940
242,Jameer Nelson,DAL,$2732000,$2854940,,,,Room Exception,$2732000
243,Mike Miller,CLE,$2732000,$2854940,,,,MLE,$2732000
244,Brian Roberts,CHO,$2732000,$2854940,,,,Room Exception,$5586940
245,Kirk Hinrich,CHI,$2730000,$2870000,,,,Room Exception,$2730000
246,Iman Shumpert,NYK,$2616975,,,,,1st Round Pick,$2616975
247,Andre Drummond,DET,$2568360,$3272091,,,,1st Round Pick,$2568360
248,Trey Burke,UTA,$2548560,$2658240,$3386598,,,1st Round Pick,$2548560
249,Noah Vonleh,CHO,$2524200,$2637720,$2751360,$3505233,,1st Round Pick,$5161920
250,James Johnson,TOR,$2500000,$2500000,,,,Cap Space,$5000000
251,DeMarre Carroll,ATL,$2442455,,,,,Cap Space,$2442455
252,Austin Rivers,NOP,$2439840,$3110796,,,,1st Round Pick,$2439840
253,Shelvin Mack,ATL,$2433333,$2433333,$2433334,,,Cap Space,$4866666
254,C.J. McCollum,POR,$2421000,$2525160,$3219579,,,1st Round Pick,$2421000
255,Elfrid Payton,ORL,$2397840,$2505720,$2613600,$3332340,,1st Round Pick,$4903560
256,Tobias Harris,ORL,$2380594,,,,,1st Round Pick,$2380594
257,Meyers Leonard,POR,$2317920,$3075880,,,,1st Round Pick,$2317920
258,Michael Carter-Williams,PHI,$2300040,$2399040,$3183526,,,1st Round Pick,$2300040
259,Doug McDermott,CHI,$2277960,$2380440,$2483040,$3294994,,1st Round Pick,$4658400
260,Kenneth Faried,DEN,$2249768,$11235955,$12078652,$12921348,$13764045,1st Round Pick,$52249768
,,,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
261,Nick Collison,OKC,$2242003,,,,,Bird Rights,$2242003
262,Brendan Haywood,CLE,$2213688,$10522500,,,,Cap Space,$2213688
263,Reggie Jackson,OKC,$2204370,,,,,1st Round Pick,$2204370
264,Jeremy Lamb,OKC,$2202000,$3034356,,,,1st Round Pick,$2202000
265,Steven Adams,OKC,$2184960,$2279040,$3140517,,,1st Round Pick,$2184960
266,Eric Maynor,PHI,$2106720,,,,,,$2106720
267,C.J. Watson,IND,$2106720,,,,,BAE,$2106720
